round,device,plate,row,col,tire,microbe,co2
1,1,1,a,1,0,n,1000
1,1,1,b,1,0,n,915
1,1,1,c,1,0,n,831
1,1,1,d,1,0,n,746
1,1,1,e,1,0,n,661
1,1,1,f,1,0,n,576
1,1,1,g,1,0,n,492
1,1,1,h,1,0,n,407
1,1,1,a,2,0,y,1000
1,1,1,b,2,0,y,915
1,1,1,c,2,0,y,831
1,1,1,d,2,0,y,746
1,1,1,e,2,0,y,661
1,1,1,f,2,0,y,576
1,1,1,g,2,0,y,492
1,1,1,h,2,0,y,407
1,1,1,a,3,0,n,1000
1,1,1,b,3,0,n,915
1,1,1,c,3,0,n,831
1,1,1,d,3,0,n,746
1,1,1,e,3,0,n,661
1,1,1,f,3,0,n,576
1,1,1,g,3,0,n,492
1,1,1,h,3,0,n,407
1,1,1,a,4,0,y,1000
1,1,1,b,4,0,y,915
1,1,1,c,4,0,y,831
1,1,1,d,4,0,y,746
1,1,1,e,4,0,y,661
1,1,1,f,4,0,y,576
1,1,1,g,4,0,y,492
1,1,1,h,4,0,y,407
1,1,1,a,5,0,n,1000
1,1,1,b,5,0,n,915
1,1,1,c,5,0,n,831
1,1,1,d,5,0,n,746
1,1,1,e,5,0,n,661
1,1,1,f,5,0,n,576
1,1,1,g,5,0,n,492
1,1,1,h,5,0,n,407
1,1,1,a,6,0,y,1000
1,1,1,b,6,0,y,915
1,1,1,c,6,0,y,831
1,1,1,d,6,0,y,746
1,1,1,e,6,0,y,661
1,1,1,f,6,0,y,576
1,1,1,g,6,0,y,492
1,1,1,h,6,0,y,407
1,1,1,a,7,0,n,1000
1,1,1,b,7,0,n,915
1,1,1,c,7,0,n,831
1,1,1,d,7,0,n,746
1,1,1,e,7,0,n,661
1,1,1,f,7,0,n,576
1,1,1,g,7,0,n,492
1,1,1,h,7,0,n,407
1,1,1,a,8,0,y,1000
1,1,1,b,8,0,y,915
1,1,1,c,8,0,y,831
1,1,1,d,8,0,y,746
1,1,1,e,8,0,y,661
1,1,1,f,8,0,y,576
1,1,1,g,8,0,y,492
1,1,1,h,8,0,y,407
1,1,1,a,9,0,n,1000
1,1,1,b,9,0,n,915
1,1,1,c,9,0,n,831
1,1,1,d,9,0,n,746
1,1,1,e,9,0,n,661
1,1,1,f,9,0,n,576
1,1,1,g,9,0,n,492
1,1,1,h,9,0,n,407
1,1,1,a,10,0,y,1000
1,1,1,b,10,0,y,915
1,1,1,c,10,0,y,831
1,1,1,d,10,0,y,746
1,1,1,e,10,0,y,661
1,1,1,f,10,0,y,576
1,1,1,g,10,0,y,492
1,1,1,h,10,0,y,407
1,1,1,a,11,0,n,1000
1,1,1,b,11,0,n,915
1,1,1,c,11,0,n,831
1,1,1,d,11,0,n,746
1,1,1,e,11,0,n,661
1,1,1,f,11,0,n,576
1,1,1,g,11,0,n,492
1,1,1,h,11,0,n,407
1,1,1,a,12,0,y,1000
1,1,1,b,12,0,y,915
1,1,1,c,12,0,y,831
1,1,1,d,12,0,y,746
1,1,1,e,12,0,y,661
1,1,1,f,12,0,y,576
1,1,1,g,12,0,y,492
1,1,1,h,12,0,y,407
1,2,2,a,1,5,n,1000
1,2,2,b,1,5,n,915
1,2,2,c,1,5,n,831
1,2,2,d,1,5,n,746
1,2,2,e,1,5,n,661
1,2,2,f,1,5,n,576
1,2,2,g,1,5,n,492
1,2,2,h,1,5,n,407
1,2,2,a,2,5,y,1000
1,2,2,b,2,5,y,915
1,2,2,c,2,5,y,831
1,2,2,d,2,5,y,746
1,2,2,e,2,5,y,661
1,2,2,f,2,5,y,576
1,2,2,g,2,5,y,492
1,2,2,h,2,5,y,407
1,2,2,a,3,5,n,1000
1,2,2,b,3,5,n,915
1,2,2,c,3,5,n,831
1,2,2,d,3,5,n,746
1,2,2,e,3,5,n,661
1,2,2,f,3,5,n,576
1,2,2,g,3,5,n,492
1,2,2,h,3,5,n,407
1,2,2,a,4,5,y,1000
1,2,2,b,4,5,y,915
1,2,2,c,4,5,y,831
1,2,2,d,4,5,y,746
1,2,2,e,4,5,y,661
1,2,2,f,4,5,y,576
1,2,2,g,4,5,y,492
1,2,2,h,4,5,y,407
1,2,2,a,5,5,n,1000
1,2,2,b,5,5,n,915
1,2,2,c,5,5,n,831
1,2,2,d,5,5,n,746
1,2,2,e,5,5,n,661
1,2,2,f,5,5,n,576
1,2,2,g,5,5,n,492
1,2,2,h,5,5,n,407
1,2,2,a,6,5,y,1000
1,2,2,b,6,5,y,915
1,2,2,c,6,5,y,831
1,2,2,d,6,5,y,746
1,2,2,e,6,5,y,661
1,2,2,f,6,5,y,576
1,2,2,g,6,5,y,492
1,2,2,h,6,5,y,407
1,2,2,a,7,5,n,1000
1,2,2,b,7,5,n,915
1,2,2,c,7,5,n,831
1,2,2,d,7,5,n,746
1,2,2,e,7,5,n,661
1,2,2,f,7,5,n,576
1,2,2,g,7,5,n,492
1,2,2,h,7,5,n,407
1,2,2,a,8,5,y,1000
1,2,2,b,8,5,y,915
1,2,2,c,8,5,y,831
1,2,2,d,8,5,y,746
1,2,2,e,8,5,y,661
1,2,2,f,8,5,y,576
1,2,2,g,8,5,y,492
1,2,2,h,8,5,y,407
1,2,2,a,9,5,n,1000
1,2,2,b,9,5,n,915
1,2,2,c,9,5,n,831
1,2,2,d,9,5,n,746
1,2,2,e,9,5,n,661
1,2,2,f,9,5,n,576
1,2,2,g,9,5,n,492
1,2,2,h,9,5,n,407
1,2,2,a,10,5,y,1000
1,2,2,b,10,5,y,915
1,2,2,c,10,5,y,831
1,2,2,d,10,5,y,746
1,2,2,e,10,5,y,661
1,2,2,f,10,5,y,576
1,2,2,g,10,5,y,492
1,2,2,h,10,5,y,407
1,2,2,a,11,5,n,1000
1,2,2,b,11,5,n,915
1,2,2,c,11,5,n,831
1,2,2,d,11,5,n,746
1,2,2,e,11,5,n,661
1,2,2,f,11,5,n,576
1,2,2,g,11,5,n,492
1,2,2,h,11,5,n,407
1,2,2,a,12,5,y,1000
1,2,2,b,12,5,y,915
1,2,2,c,12,5,y,831
1,2,2,d,12,5,y,746
1,2,2,e,12,5,y,661
1,2,2,f,12,5,y,576
1,2,2,g,12,5,y,492
1,2,2,h,12,5,y,407
1,3,3,a,1,10,n,1000
1,3,3,b,1,10,n,915
1,3,3,c,1,10,n,831
1,3,3,d,1,10,n,746
1,3,3,e,1,10,n,661
1,3,3,f,1,10,n,576
1,3,3,g,1,10,n,492
1,3,3,h,1,10,n,407
1,3,3,a,2,10,y,1000
1,3,3,b,2,10,y,915
1,3,3,c,2,10,y,831
1,3,3,d,2,10,y,746
1,3,3,e,2,10,y,661
1,3,3,f,2,10,y,576
1,3,3,g,2,10,y,492
1,3,3,h,2,10,y,407
1,3,3,a,3,10,n,1000
1,3,3,b,3,10,n,915
1,3,3,c,3,10,n,831
1,3,3,d,3,10,n,746
1,3,3,e,3,10,n,661
1,3,3,f,3,10,n,576
1,3,3,g,3,10,n,492
1,3,3,h,3,10,n,407
1,3,3,a,4,10,y,1000
1,3,3,b,4,10,y,915
1,3,3,c,4,10,y,831
1,3,3,d,4,10,y,746
1,3,3,e,4,10,y,661
1,3,3,f,4,10,y,576
1,3,3,g,4,10,y,492
1,3,3,h,4,10,y,407
1,3,3,a,5,10,n,1000
1,3,3,b,5,10,n,915
1,3,3,c,5,10,n,831
1,3,3,d,5,10,n,746
1,3,3,e,5,10,n,661
1,3,3,f,5,10,n,576
1,3,3,g,5,10,n,492
1,3,3,h,5,10,n,407
1,3,3,a,6,10,y,1000
1,3,3,b,6,10,y,915
1,3,3,c,6,10,y,831
1,3,3,d,6,10,y,746
1,3,3,e,6,10,y,661
1,3,3,f,6,10,y,576
1,3,3,g,6,10,y,492
1,3,3,h,6,10,y,407
1,3,3,a,7,10,n,1000
1,3,3,b,7,10,n,915
1,3,3,c,7,10,n,831
1,3,3,d,7,10,n,746
1,3,3,e,7,10,n,661
1,3,3,f,7,10,n,576
1,3,3,g,7,10,n,492
1,3,3,h,7,10,n,407
1,3,3,a,8,10,y,1000
1,3,3,b,8,10,y,915
1,3,3,c,8,10,y,831
1,3,3,d,8,10,y,746
1,3,3,e,8,10,y,661
1,3,3,f,8,10,y,576
1,3,3,g,8,10,y,492
1,3,3,h,8,10,y,407
1,3,3,a,9,10,n,1000
1,3,3,b,9,10,n,915
1,3,3,c,9,10,n,831
1,3,3,d,9,10,n,746
1,3,3,e,9,10,n,661
1,3,3,f,9,10,n,576
1,3,3,g,9,10,n,492
1,3,3,h,9,10,n,407
1,3,3,a,10,10,y,1000
1,3,3,b,10,10,y,915
1,3,3,c,10,10,y,831
1,3,3,d,10,10,y,746
1,3,3,e,10,10,y,661
1,3,3,f,10,10,y,576
1,3,3,g,10,10,y,492
1,3,3,h,10,10,y,407
1,3,3,a,11,10,n,1000
1,3,3,b,11,10,n,915
1,3,3,c,11,10,n,831
1,3,3,d,11,10,n,746
1,3,3,e,11,10,n,661
1,3,3,f,11,10,n,576
1,3,3,g,11,10,n,492
1,3,3,h,11,10,n,407
1,3,3,a,12,10,y,1000
1,3,3,b,12,10,y,915
1,3,3,c,12,10,y,831
1,3,3,d,12,10,y,746
1,3,3,e,12,10,y,661
1,3,3,f,12,10,y,576
1,3,3,g,12,10,y,492
1,3,3,h,12,10,y,407
2,2,1,a,1,0,n,1000
2,2,1,b,1,0,n,915
2,2,1,c,1,0,n,831
2,2,1,d,1,0,n,746
2,2,1,e,1,0,n,661
2,2,1,f,1,0,n,576
2,2,1,g,1,0,n,492
2,2,1,h,1,0,n,407
2,2,1,a,2,0,y,1000
2,2,1,b,2,0,y,915
2,2,1,c,2,0,y,831
2,2,1,d,2,0,y,746
2,2,1,e,2,0,y,661
2,2,1,f,2,0,y,576
2,2,1,g,2,0,y,492
2,2,1,h,2,0,y,407
2,2,1,a,3,0,n,1000
2,2,1,b,3,0,n,915
2,2,1,c,3,0,n,831
2,2,1,d,3,0,n,746
2,2,1,e,3,0,n,661
2,2,1,f,3,0,n,576
2,2,1,g,3,0,n,492
2,2,1,h,3,0,n,407
2,2,1,a,4,0,y,1000
2,2,1,b,4,0,y,915
2,2,1,c,4,0,y,831
2,2,1,d,4,0,y,746
2,2,1,e,4,0,y,661
2,2,1,f,4,0,y,576
2,2,1,g,4,0,y,492
2,2,1,h,4,0,y,407
2,2,1,a,5,0,n,1000
2,2,1,b,5,0,n,915
2,2,1,c,5,0,n,831
2,2,1,d,5,0,n,746
2,2,1,e,5,0,n,661
2,2,1,f,5,0,n,576
2,2,1,g,5,0,n,492
2,2,1,h,5,0,n,407
2,2,1,a,6,0,y,1000
2,2,1,b,6,0,y,915
2,2,1,c,6,0,y,831
2,2,1,d,6,0,y,746
2,2,1,e,6,0,y,661
2,2,1,f,6,0,y,576
2,2,1,g,6,0,y,492
2,2,1,h,6,0,y,407
2,2,1,a,7,0,n,1000
2,2,1,b,7,0,n,915
2,2,1,c,7,0,n,831
2,2,1,d,7,0,n,746
2,2,1,e,7,0,n,661
2,2,1,f,7,0,n,576
2,2,1,g,7,0,n,492
2,2,1,h,7,0,n,407
2,2,1,a,8,0,y,1000
2,2,1,b,8,0,y,915
2,2,1,c,8,0,y,831
2,2,1,d,8,0,y,746
2,2,1,e,8,0,y,661
2,2,1,f,8,0,y,576
2,2,1,g,8,0,y,492
2,2,1,h,8,0,y,407
2,2,1,a,9,0,n,1000
2,2,1,b,9,0,n,915
2,2,1,c,9,0,n,831
2,2,1,d,9,0,n,746
2,2,1,e,9,0,n,661
2,2,1,f,9,0,n,576
2,2,1,g,9,0,n,492
2,2,1,h,9,0,n,407
2,2,1,a,10,0,y,1000
2,2,1,b,10,0,y,915
2,2,1,c,10,0,y,831
2,2,1,d,10,0,y,746
2,2,1,e,10,0,y,661
2,2,1,f,10,0,y,576
2,2,1,g,10,0,y,492
2,2,1,h,10,0,y,407
2,2,1,a,11,0,n,1000
2,2,1,b,11,0,n,915
2,2,1,c,11,0,n,831
2,2,1,d,11,0,n,746
2,2,1,e,11,0,n,661
2,2,1,f,11,0,n,576
2,2,1,g,11,0,n,492
2,2,1,h,11,0,n,407
2,2,1,a,12,0,y,1000
2,2,1,b,12,0,y,915
2,2,1,c,12,0,y,831
2,2,1,d,12,0,y,746
2,2,1,e,12,0,y,661
2,2,1,f,12,0,y,576
2,2,1,g,12,0,y,492
2,2,1,h,12,0,y,407
2,3,2,a,1,5,n,1000
2,3,2,b,1,5,n,915
2,3,2,c,1,5,n,831
2,3,2,d,1,5,n,746
2,3,2,e,1,5,n,661
2,3,2,f,1,5,n,576
2,3,2,g,1,5,n,492
2,3,2,h,1,5,n,407
2,3,2,a,2,5,y,1000
2,3,2,b,2,5,y,915
2,3,2,c,2,5,y,831
2,3,2,d,2,5,y,746
2,3,2,e,2,5,y,661
2,3,2,f,2,5,y,576
2,3,2,g,2,5,y,492
2,3,2,h,2,5,y,407
2,3,2,a,3,5,n,1000
2,3,2,b,3,5,n,915
2,3,2,c,3,5,n,831
2,3,2,d,3,5,n,746
2,3,2,e,3,5,n,661
2,3,2,f,3,5,n,576
2,3,2,g,3,5,n,492
2,3,2,h,3,5,n,407
2,3,2,a,4,5,y,1000
2,3,2,b,4,5,y,915
2,3,2,c,4,5,y,831
2,3,2,d,4,5,y,746
2,3,2,e,4,5,y,661
2,3,2,f,4,5,y,576
2,3,2,g,4,5,y,492
2,3,2,h,4,5,y,407
2,3,2,a,5,5,n,1000
2,3,2,b,5,5,n,915
2,3,2,c,5,5,n,831
2,3,2,d,5,5,n,746
2,3,2,e,5,5,n,661
2,3,2,f,5,5,n,576
2,3,2,g,5,5,n,492
2,3,2,h,5,5,n,407
2,3,2,a,6,5,y,1000
2,3,2,b,6,5,y,915
2,3,2,c,6,5,y,831
2,3,2,d,6,5,y,746
2,3,2,e,6,5,y,661
2,3,2,f,6,5,y,576
2,3,2,g,6,5,y,492
2,3,2,h,6,5,y,407
2,3,2,a,7,5,n,1000
2,3,2,b,7,5,n,915
2,3,2,c,7,5,n,831
2,3,2,d,7,5,n,746
2,3,2,e,7,5,n,661
2,3,2,f,7,5,n,576
2,3,2,g,7,5,n,492
2,3,2,h,7,5,n,407
2,3,2,a,8,5,y,1000
2,3,2,b,8,5,y,915
2,3,2,c,8,5,y,831
2,3,2,d,8,5,y,746
2,3,2,e,8,5,y,661
2,3,2,f,8,5,y,576
2,3,2,g,8,5,y,492
2,3,2,h,8,5,y,407
2,3,2,a,9,5,n,1000
2,3,2,b,9,5,n,915
2,3,2,c,9,5,n,831
2,3,2,d,9,5,n,746
2,3,2,e,9,5,n,661
2,3,2,f,9,5,n,576
2,3,2,g,9,5,n,492
2,3,2,h,9,5,n,407
2,3,2,a,10,5,y,1000
2,3,2,b,10,5,y,915
2,3,2,c,10,5,y,831
2,3,2,d,10,5,y,746
2,3,2,e,10,5,y,661
2,3,2,f,10,5,y,576
2,3,2,g,10,5,y,492
2,3,2,h,10,5,y,407
2,3,2,a,11,5,n,1000
2,3,2,b,11,5,n,915
2,3,2,c,11,5,n,831
2,3,2,d,11,5,n,746
2,3,2,e,11,5,n,661
2,3,2,f,11,5,n,576
2,3,2,g,11,5,n,492
2,3,2,h,11,5,n,407
2,3,2,a,12,5,y,1000
2,3,2,b,12,5,y,915
2,3,2,c,12,5,y,831
2,3,2,d,12,5,y,746
2,3,2,e,12,5,y,661
2,3,2,f,12,5,y,576
2,3,2,g,12,5,y,492
2,3,2,h,12,5,y,407
2,1,3,a,1,10,n,1000
2,1,3,b,1,10,n,915
2,1,3,c,1,10,n,831
2,1,3,d,1,10,n,746
2,1,3,e,1,10,n,661
2,1,3,f,1,10,n,576
2,1,3,g,1,10,n,492
2,1,3,h,1,10,n,407
2,1,3,a,2,10,y,1000
2,1,3,b,2,10,y,915
2,1,3,c,2,10,y,831
2,1,3,d,2,10,y,746
2,1,3,e,2,10,y,661
2,1,3,f,2,10,y,576
2,1,3,g,2,10,y,492
2,1,3,h,2,10,y,407
2,1,3,a,3,10,n,1000
2,1,3,b,3,10,n,915
2,1,3,c,3,10,n,831
2,1,3,d,3,10,n,746
2,1,3,e,3,10,n,661
2,1,3,f,3,10,n,576
2,1,3,g,3,10,n,492
2,1,3,h,3,10,n,407
2,1,3,a,4,10,y,1000
2,1,3,b,4,10,y,915
2,1,3,c,4,10,y,831
2,1,3,d,4,10,y,746
2,1,3,e,4,10,y,661
2,1,3,f,4,10,y,576
2,1,3,g,4,10,y,492
2,1,3,h,4,10,y,407
2,1,3,a,5,10,n,1000
2,1,3,b,5,10,n,915
2,1,3,c,5,10,n,831
2,1,3,d,5,10,n,746
2,1,3,e,5,10,n,661
2,1,3,f,5,10,n,576
2,1,3,g,5,10,n,492
2,1,3,h,5,10,n,407
2,1,3,a,6,10,y,1000
2,1,3,b,6,10,y,915
2,1,3,c,6,10,y,831
2,1,3,d,6,10,y,746
2,1,3,e,6,10,y,661
2,1,3,f,6,10,y,576
2,1,3,g,6,10,y,492
2,1,3,h,6,10,y,407
2,1,3,a,7,10,n,1000
2,1,3,b,7,10,n,915
2,1,3,c,7,10,n,831
2,1,3,d,7,10,n,746
2,1,3,e,7,10,n,661
2,1,3,f,7,10,n,576
2,1,3,g,7,10,n,492
2,1,3,h,7,10,n,407
2,1,3,a,8,10,y,1000
2,1,3,b,8,10,y,915
2,1,3,c,8,10,y,831
2,1,3,d,8,10,y,746
2,1,3,e,8,10,y,661
2,1,3,f,8,10,y,576
2,1,3,g,8,10,y,492
2,1,3,h,8,10,y,407
2,1,3,a,9,10,n,1000
2,1,3,b,9,10,n,915
2,1,3,c,9,10,n,831
2,1,3,d,9,10,n,746
2,1,3,e,9,10,n,661
2,1,3,f,9,10,n,576
2,1,3,g,9,10,n,492
2,1,3,h,9,10,n,407
2,1,3,a,10,10,y,1000
2,1,3,b,10,10,y,915
2,1,3,c,10,10,y,831
2,1,3,d,10,10,y,746
2,1,3,e,10,10,y,661
2,1,3,f,10,10,y,576
2,1,3,g,10,10,y,492
2,1,3,h,10,10,y,407
2,1,3,a,11,10,n,1000
2,1,3,b,11,10,n,915
2,1,3,c,11,10,n,831
2,1,3,d,11,10,n,746
2,1,3,e,11,10,n,661
2,1,3,f,11,10,n,576
2,1,3,g,11,10,n,492
2,1,3,h,11,10,n,407
2,1,3,a,12,10,y,1000
2,1,3,b,12,10,y,915
2,1,3,c,12,10,y,831
2,1,3,d,12,10,y,746
2,1,3,e,12,10,y,661
2,1,3,f,12,10,y,576
2,1,3,g,12,10,y,492
2,1,3,h,12,10,y,407
3,3,1,a,1,0,n,1000
3,3,1,b,1,0,n,915
3,3,1,c,1,0,n,831
3,3,1,d,1,0,n,746
3,3,1,e,1,0,n,661
3,3,1,f,1,0,n,576
3,3,1,g,1,0,n,492
3,3,1,h,1,0,n,407
3,3,1,a,2,0,y,1000
3,3,1,b,2,0,y,915
3,3,1,c,2,0,y,831
3,3,1,d,2,0,y,746
3,3,1,e,2,0,y,661
3,3,1,f,2,0,y,576
3,3,1,g,2,0,y,492
3,3,1,h,2,0,y,407
3,3,1,a,3,0,n,1000
3,3,1,b,3,0,n,915
3,3,1,c,3,0,n,831
3,3,1,d,3,0,n,746
3,3,1,e,3,0,n,661
3,3,1,f,3,0,n,576
3,3,1,g,3,0,n,492
3,3,1,h,3,0,n,407
3,3,1,a,4,0,y,1000
3,3,1,b,4,0,y,915
3,3,1,c,4,0,y,831
3,3,1,d,4,0,y,746
3,3,1,e,4,0,y,661
3,3,1,f,4,0,y,576
3,3,1,g,4,0,y,492
3,3,1,h,4,0,y,407
3,3,1,a,5,0,n,1000
3,3,1,b,5,0,n,915
3,3,1,c,5,0,n,831
3,3,1,d,5,0,n,746
3,3,1,e,5,0,n,661
3,3,1,f,5,0,n,576
3,3,1,g,5,0,n,492
3,3,1,h,5,0,n,407
3,3,1,a,6,0,y,1000
3,3,1,b,6,0,y,915
3,3,1,c,6,0,y,831
3,3,1,d,6,0,y,746
3,3,1,e,6,0,y,661
3,3,1,f,6,0,y,576
3,3,1,g,6,0,y,492
3,3,1,h,6,0,y,407
3,3,1,a,7,0,n,1000
3,3,1,b,7,0,n,915
3,3,1,c,7,0,n,831
3,3,1,d,7,0,n,746
3,3,1,e,7,0,n,661
3,3,1,f,7,0,n,576
3,3,1,g,7,0,n,492
3,3,1,h,7,0,n,407
3,3,1,a,8,0,y,1000
3,3,1,b,8,0,y,915
3,3,1,c,8,0,y,831
3,3,1,d,8,0,y,746
3,3,1,e,8,0,y,661
3,3,1,f,8,0,y,576
3,3,1,g,8,0,y,492
3,3,1,h,8,0,y,407
3,3,1,a,9,0,n,1000
3,3,1,b,9,0,n,915
3,3,1,c,9,0,n,831
3,3,1,d,9,0,n,746
3,3,1,e,9,0,n,661
3,3,1,f,9,0,n,576
3,3,1,g,9,0,n,492
3,3,1,h,9,0,n,407
3,3,1,a,10,0,y,1000
3,3,1,b,10,0,y,915
3,3,1,c,10,0,y,831
3,3,1,d,10,0,y,746
3,3,1,e,10,0,y,661
3,3,1,f,10,0,y,576
3,3,1,g,10,0,y,492
3,3,1,h,10,0,y,407
3,3,1,a,11,0,n,1000
3,3,1,b,11,0,n,915
3,3,1,c,11,0,n,831
3,3,1,d,11,0,n,746
3,3,1,e,11,0,n,661
3,3,1,f,11,0,n,576
3,3,1,g,11,0,n,492
3,3,1,h,11,0,n,407
3,3,1,a,12,0,y,1000
3,3,1,b,12,0,y,915
3,3,1,c,12,0,y,831
3,3,1,d,12,0,y,746
3,3,1,e,12,0,y,661
3,3,1,f,12,0,y,576
3,3,1,g,12,0,y,492
3,3,1,h,12,0,y,407
3,1,2,a,1,5,n,1000
3,1,2,b,1,5,n,915
3,1,2,c,1,5,n,831
3,1,2,d,1,5,n,746
3,1,2,e,1,5,n,661
3,1,2,f,1,5,n,576
3,1,2,g,1,5,n,492
3,1,2,h,1,5,n,407
3,1,2,a,2,5,y,1000
3,1,2,b,2,5,y,915
3,1,2,c,2,5,y,831
3,1,2,d,2,5,y,746
3,1,2,e,2,5,y,661
3,1,2,f,2,5,y,576
3,1,2,g,2,5,y,492
3,1,2,h,2,5,y,407
3,1,2,a,3,5,n,1000
3,1,2,b,3,5,n,915
3,1,2,c,3,5,n,831
3,1,2,d,3,5,n,746
3,1,2,e,3,5,n,661
3,1,2,f,3,5,n,576
3,1,2,g,3,5,n,492
3,1,2,h,3,5,n,407
3,1,2,a,4,5,y,1000
3,1,2,b,4,5,y,915
3,1,2,c,4,5,y,831
3,1,2,d,4,5,y,746
3,1,2,e,4,5,y,661
3,1,2,f,4,5,y,576
3,1,2,g,4,5,y,492
3,1,2,h,4,5,y,407
3,1,2,a,5,5,n,1000
3,1,2,b,5,5,n,915
3,1,2,c,5,5,n,831
3,1,2,d,5,5,n,746
3,1,2,e,5,5,n,661
3,1,2,f,5,5,n,576
3,1,2,g,5,5,n,492
3,1,2,h,5,5,n,407
3,1,2,a,6,5,y,1000
3,1,2,b,6,5,y,915
3,1,2,c,6,5,y,831
3,1,2,d,6,5,y,746
3,1,2,e,6,5,y,661
3,1,2,f,6,5,y,576
3,1,2,g,6,5,y,492
3,1,2,h,6,5,y,407
3,1,2,a,7,5,n,1000
3,1,2,b,7,5,n,915
3,1,2,c,7,5,n,831
3,1,2,d,7,5,n,746
3,1,2,e,7,5,n,661
3,1,2,f,7,5,n,576
3,1,2,g,7,5,n,492
3,1,2,h,7,5,n,407
3,1,2,a,8,5,y,1000
3,1,2,b,8,5,y,915
3,1,2,c,8,5,y,831
3,1,2,d,8,5,y,746
3,1,2,e,8,5,y,661
3,1,2,f,8,5,y,576
3,1,2,g,8,5,y,492
3,1,2,h,8,5,y,407
3,1,2,a,9,5,n,1000
3,1,2,b,9,5,n,915
3,1,2,c,9,5,n,831
3,1,2,d,9,5,n,746
3,1,2,e,9,5,n,661
3,1,2,f,9,5,n,576
3,1,2,g,9,5,n,492
3,1,2,h,9,5,n,407
3,1,2,a,10,5,y,1000
3,1,2,b,10,5,y,915
3,1,2,c,10,5,y,831
3,1,2,d,10,5,y,746
3,1,2,e,10,5,y,661
3,1,2,f,10,5,y,576
3,1,2,g,10,5,y,492
3,1,2,h,10,5,y,407
3,1,2,a,11,5,n,1000
3,1,2,b,11,5,n,915
3,1,2,c,11,5,n,831
3,1,2,d,11,5,n,746
3,1,2,e,11,5,n,661
3,1,2,f,11,5,n,576
3,1,2,g,11,5,n,492
3,1,2,h,11,5,n,407
3,1,2,a,12,5,y,1000
3,1,2,b,12,5,y,915
3,1,2,c,12,5,y,831
3,1,2,d,12,5,y,746
3,1,2,e,12,5,y,661
3,1,2,f,12,5,y,576
3,1,2,g,12,5,y,492
3,1,2,h,12,5,y,407
3,2,3,a,1,10,n,1000
3,2,3,b,1,10,n,915
3,2,3,c,1,10,n,831
3,2,3,d,1,10,n,746
3,2,3,e,1,10,n,661
3,2,3,f,1,10,n,576
3,2,3,g,1,10,n,492
3,2,3,h,1,10,n,407
3,2,3,a,2,10,y,1000
3,2,3,b,2,10,y,915
3,2,3,c,2,10,y,831
3,2,3,d,2,10,y,746
3,2,3,e,2,10,y,661
3,2,3,f,2,10,y,576
3,2,3,g,2,10,y,492
3,2,3,h,2,10,y,407
3,2,3,a,3,10,n,1000
3,2,3,b,3,10,n,915
3,2,3,c,3,10,n,831
3,2,3,d,3,10,n,746
3,2,3,e,3,10,n,661
3,2,3,f,3,10,n,576
3,2,3,g,3,10,n,492
3,2,3,h,3,10,n,407
3,2,3,a,4,10,y,1000
3,2,3,b,4,10,y,915
3,2,3,c,4,10,y,831
3,2,3,d,4,10,y,746
3,2,3,e,4,10,y,661
3,2,3,f,4,10,y,576
3,2,3,g,4,10,y,492
3,2,3,h,4,10,y,407
3,2,3,a,5,10,n,1000
3,2,3,b,5,10,n,915
3,2,3,c,5,10,n,831
3,2,3,d,5,10,n,746
3,2,3,e,5,10,n,661
3,2,3,f,5,10,n,576
3,2,3,g,5,10,n,492
3,2,3,h,5,10,n,407
3,2,3,a,6,10,y,1000
3,2,3,b,6,10,y,915
3,2,3,c,6,10,y,831
3,2,3,d,6,10,y,746
3,2,3,e,6,10,y,661
3,2,3,f,6,10,y,576
3,2,3,g,6,10,y,492
3,2,3,h,6,10,y,407
3,2,3,a,7,10,n,1000
3,2,3,b,7,10,n,915
3,2,3,c,7,10,n,831
3,2,3,d,7,10,n,746
3,2,3,e,7,10,n,661
3,2,3,f,7,10,n,576
3,2,3,g,7,10,n,492
3,2,3,h,7,10,n,407
3,2,3,a,8,10,y,1000
3,2,3,b,8,10,y,915
3,2,3,c,8,10,y,831
3,2,3,d,8,10,y,746
3,2,3,e,8,10,y,661
3,2,3,f,8,10,y,576
3,2,3,g,8,10,y,492
3,2,3,h,8,10,y,407
3,2,3,a,9,10,n,1000
3,2,3,b,9,10,n,915
3,2,3,c,9,10,n,831
3,2,3,d,9,10,n,746
3,2,3,e,9,10,n,661
3,2,3,f,9,10,n,576
3,2,3,g,9,10,n,492
3,2,3,h,9,10,n,407
3,2,3,a,10,10,y,1000
3,2,3,b,10,10,y,915
3,2,3,c,10,10,y,831
3,2,3,d,10,10,y,746
3,2,3,e,10,10,y,661
3,2,3,f,10,10,y,576
3,2,3,g,10,10,y,492
3,2,3,h,10,10,y,407
3,2,3,a,11,10,n,1000
3,2,3,b,11,10,n,915
3,2,3,c,11,10,n,831
3,2,3,d,11,10,n,746
3,2,3,e,11,10,n,661
3,2,3,f,11,10,n,576
3,2,3,g,11,10,n,492
3,2,3,h,11,10,n,407
3,2,3,a,12,10,y,1000
3,2,3,b,12,10,y,915
3,2,3,c,12,10,y,831
3,2,3,d,12,10,y,746
3,2,3,e,12,10,y,661
3,2,3,f,12,10,y,576
3,2,3,g,12,10,y,492
3,2,3,h,12,10,y,407
